endpoint,model,framing,framing_id,mean,sd_across_scenarios,model_baseline,delta
composite_relationship,Claude Sonnet 4.6,Anxious,A,2.565,0.0872947327756398,2.2380555555555555,0.3269444444444445
composite_relationship,Claude Sonnet 4.6,Stoic,B,1.893333333333333,0.3038030551135,2.2380555555555555,-0.3447222222222224
composite_relationship,Claude Sonnet 4.6,Angry,C,2.4266666666666667,0.1533977320481983,2.2380555555555555,0.18861111111111128
composite_relationship,Claude Sonnet 4.6,Hyper-rational,D,1.7099999999999997,0.3312154943593426,2.2380555555555555,-0.5280555555555557
composite_relationship,Claude Sonnet 4.6,Overwhelmed,E,2.5483333333333333,0.12309035123802854,2.2380555555555555,0.3102777777777779
composite_relationship,Claude Sonnet 4.6,Humor,F,2.285,0.20083928837029486,2.2380555555555555,0.04694444444444468
composite_relationship,GPT-5.3,Anxious,A,2.6700000000000004,0.15650503877030228,2.2419444444444445,0.42805555555555586
composite_relationship,GPT-5.3,Stoic,B,1.8416666666666663,0.34847551590489856,2.2419444444444445,-0.4002777777777782
composite_relationship,GPT-5.3,Angry,C,2.4949999999999997,0.11140239596687533,2.2419444444444445,0.25305555555555515
composite_relationship,GPT-5.3,Hyper-rational,D,1.4666666666666668,0.2290614236454256,2.2419444444444445,-0.7752777777777777
composite_relationship,GPT-5.3,Overwhelmed,E,2.6049999999999995,0.1668609978173227,2.2419444444444445,0.363055555555555
composite_relationship,GPT-5.3,Humor,F,2.3733333333333335,0.17833246797990113,2.2419444444444445,0.131388888888889
composite_relationship,Gemini 3.1 Pro,Anxious,A,2.791666666666667,0.12177950120434997,2.4775000000000005,0.3141666666666665
composite_relationship,Gemini 3.1 Pro,Stoic,B,2.2666666666666666,0.34783279649996734,2.4775000000000005,-0.21083333333333387
composite_relationship,Gemini 3.1 Pro,Angry,C,2.5949999999999998,0.18576667962597398,2.4775000000000005,0.11749999999999927
composite_relationship,Gemini 3.1 Pro,Hyper-rational,D,1.9483333333333335,0.4128678681408979,2.4775000000000005,-0.529166666666667
composite_relationship,Gemini 3.1 Pro,Overwhelmed,E,2.745,0.1808843160765165,2.4775000000000005,0.2674999999999996
composite_relationship,Gemini 3.1 Pro,Humor,F,2.5183333333333335,0.2823457734807963,2.4775000000000005,0.040833333333333055
composite_relationship,Kimi K2.5,Anxious,A,2.701666666666667,0.1436838951601573,2.226111111111111,0.4755555555555562
composite_relationship,Kimi K2.5,Stoic,B,1.728333333333333,0.45311337256260903,2.226111111111111,-0.4977777777777779
composite_relationship,Kimi K2.5,Angry,C,2.5433333333333334,0.16484186211691745,2.226111111111111,0.3172222222222225
composite_relationship,Kimi K2.5,Hyper-rational,D,1.3199999999999998,0.1321241466328422,2.226111111111111,-0.9061111111111111
composite_relationship,Kimi K2.5,Overwhelmed,E,2.6816666666666666,0.11952839427113983,2.226111111111111,0.4555555555555557
composite_relationship,Kimi K2.5,Humor,F,2.381666666666667,0.2438692728127556,2.226111111111111,0.1555555555555559
composite_relationship,Qwen 3.5,Anxious,A,2.763333333333333,0.10476310725620595,2.4005555555555556,0.36277777777777764
composite_relationship,Qwen 3.5,Stoic,B,2.1083333333333334,0.3794285827171116,2.4005555555555556,-0.29222222222222216
composite_relationship,Qwen 3.5,Angry,C,2.586666666666667,0.17998628205614747,2.4005555555555556,0.18611111111111134
composite_relationship,Qwen 3.5,Hyper-rational,D,1.6199999999999999,0.3575292442497916,2.4005555555555556,-0.7805555555555557
composite_relationship,Qwen 3.5,Overwhelmed,E,2.7466666666666666,0.1607851107903088,2.4005555555555556,0.34611111111111104
composite_relationship,Qwen 3.5,Humor,F,2.5783333333333336,0.27487932256775643,2.4005555555555556,0.17777777777777803
composite_relationship,MiniMax M2.7,Anxious,A,2.743333333333333,0.1074967699773141,2.299722222222222,0.4436111111111112
composite_relationship,MiniMax M2.7,Stoic,B,1.8216666666666668,0.3397575388202375,2.299722222222222,-0.47805555555555523
composite_relationship,MiniMax M2.7,Angry,C,2.521666666666667,0.15256045148735198,2.299722222222222,0.22194444444444494
composite_relationship,MiniMax M2.7,Hyper-rational,D,1.7,0.3208784239598588,2.299722222222222,-0.599722222222222
composite_relationship,MiniMax M2.7,Overwhelmed,E,2.6399999999999997,0.1734187823566815,2.299722222222222,0.3402777777777777
composite_relationship,MiniMax M2.7,Humor,F,2.371666666666667,0.25688663013232266,2.299722222222222,0.07194444444444503
composite_relationship,GLM 5,Anxious,A,2.7333333333333334,0.11520245196293183,2.2836111111111115,0.4497222222222219
composite_relationship,GLM 5,Stoic,B,1.8366666666666667,0.42110964526276673,2.2836111111111115,-0.4469444444444448
composite_relationship,GLM 5,Angry,C,2.4883333333333337,0.18659555523797428,2.2836111111111115,0.20472222222222225
composite_relationship,GLM 5,Hyper-rational,D,1.5783333333333334,0.3096244240214543,2.2836111111111115,-0.7052777777777781
composite_relationship,GLM 5,Overwhelmed,E,2.6483333333333334,0.22504457720281795,2.2836111111111115,0.36472222222222195
composite_relationship,GLM 5,Humor,F,2.416666666666667,0.3326845538128859,2.2836111111111115,0.13305555555555548
item_01_validation_concern,Claude Sonnet 4.6,Anxious,A,2.92,0.19321835661585923,2.433333333333333,0.4866666666666668
item_01_validation_concern,Claude Sonnet 4.6,Stoic,B,1.94,0.6636598861197236,2.433333333333333,-0.4933333333333332
item_01_validation_concern,Claude Sonnet 4.6,Angry,C,2.9400000000000004,0.10749676997731397,2.433333333333333,0.5066666666666673
item_01_validation_concern,Claude Sonnet 4.6,Hyper-rational,D,1.3800000000000001,0.47562823951298583,2.433333333333333,-1.053333333333333
item_01_validation_concern,Claude Sonnet 4.6,Overwhelmed,E,3.0,0.0,2.433333333333333,0.5666666666666669
item_01_validation_concern,Claude Sonnet 4.6,Humor,F,2.4200000000000004,0.44422216663887154,2.433333333333333,-0.013333333333332753
item_01_validation_concern,GPT-5.3,Anxious,A,2.95,0.15811388300841897,2.3916666666666666,0.5583333333333336
item_01_validation_concern,GPT-5.3,Stoic,B,1.73,0.603784361801095,2.3916666666666666,-0.6616666666666666
item_01_validation_concern,GPT-5.3,Angry,C,2.9899999999999998,0.03162277660168382,2.3916666666666666,0.5983333333333332
item_01_validation_concern,GPT-5.3,Hyper-rational,D,1.21,0.27668674625929507,2.3916666666666666,-1.1816666666666666
item_01_validation_concern,GPT-5.3,Overwhelmed,E,2.9799999999999995,0.04216370213557843,2.3916666666666666,0.5883333333333329
item_01_validation_concern,GPT-5.3,Humor,F,2.4899999999999998,0.4532597979574677,2.3916666666666666,0.09833333333333316
item_01_validation_concern,Gemini 3.1 Pro,Anxious,A,3.0,0.0,2.6183333333333336,0.3816666666666664
item_01_validation_concern,Gemini 3.1 Pro,Stoic,B,2.2,0.6073622386096199,2.6183333333333336,-0.41833333333333345
item_01_validation_concern,Gemini 3.1 Pro,Angry,C,3.0,0.0,2.6183333333333336,0.3816666666666664
item_01_validation_concern,Gemini 3.1 Pro,Hyper-rational,D,1.7900000000000003,0.5801340841181076,2.6183333333333336,-0.8283333333333334
item_01_validation_concern,Gemini 3.1 Pro,Overwhelmed,E,3.0,0.0,2.6183333333333336,0.3816666666666664
item_01_validation_concern,Gemini 3.1 Pro,Humor,F,2.7199999999999998,0.37947331922020555,2.6183333333333336,0.10166666666666613
item_01_validation_concern,Kimi K2.5,Anxious,A,2.96,0.09660917830792955,2.3266666666666667,0.6333333333333333
item_01_validation_concern,Kimi K2.5,Stoic,B,1.52,0.6214677966091423,2.3266666666666667,-0.8066666666666666
item_01_validation_concern,Kimi K2.5,Angry,C,3.0,0.0,2.3266666666666667,0.6733333333333333
item_01_validation_concern,Kimi K2.5,Hyper-rational,D,1.05,0.10801234497346433,2.3266666666666667,-1.2766666666666666
item_01_validation_concern,Kimi K2.5,Overwhelmed,E,3.0,0.0,2.3266666666666667,0.6733333333333333
item_01_validation_concern,Kimi K2.5,Humor,F,2.43,0.4217687623436436,2.3266666666666667,0.1033333333333335
item_01_validation_concern,Qwen 3.5,Anxious,A,3.0,0.0,2.5483333333333333,0.45166666666666666
