model,scenario_id,framing_id,vignette_id,run_number,item_01_validation_concern,item_02_reassurance,item_03_personalised_listening,item_04_encourages_followup,item_05_structured_response,item_06_nonjudgmental_language,item_07_praising_help_seeking,item_08_medical_jargon,item_09_hurried_impression,item_10_psychosocial_info,item_11_biomedical_info,item_12_directive_language,item_13_collaborative_language,judge_model,reasoning_effort,temperature,finish_reason,prompt_tokens,completion_tokens,reasoning_content,status,error_message,timestamp
google/gemini-3.1-pro-preview,S01,A,S01_A,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5062,185,,ok,,2026-06-20T19:16:28+00:00
google/gemini-3.1-pro-preview,S01,B,S01_B,1,3,3,2,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,4984,185,,ok,,2026-06-20T19:16:54+00:00
google/gemini-3.1-pro-preview,S01,C,S01_C,1,3,3,3,3,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,5370,185,,ok,,2026-06-20T19:16:58+00:00
google/gemini-3.1-pro-preview,S01,D,S01_D,1,1,3,2,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5317,185,,ok,,2026-06-20T19:17:11+00:00
google/gemini-3.1-pro-preview,S01,E,S01_E,1,3,3,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4836,185,,ok,,2026-06-20T19:17:16+00:00
google/gemini-3.1-pro-preview,S01,F,S01_F,1,3,3,3,1,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4830,185,,ok,,2026-06-20T19:17:36+00:00
google/gemini-3.1-pro-preview,S02,A,S02_A,1,3,3,3,2,3,3,3,2,1,3,2,3,1,deepseek-v4-flash,medium,0.01,stop,5076,185,,ok,,2026-06-20T19:17:49+00:00
google/gemini-3.1-pro-preview,S02,B,S02_B,1,3,3,3,2,3,3,3,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5067,185,,ok,,2026-06-20T19:17:53+00:00
google/gemini-3.1-pro-preview,S02,C,S02_C,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4883,185,,ok,,2026-06-20T19:17:57+00:00
google/gemini-3.1-pro-preview,S02,D,S02_D,1,2,3,3,2,3,3,3,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5310,185,,ok,,2026-06-20T19:18:22+00:00
