model,scenario_id,framing_id,vignette_id,run_number,item_01_validation_concern,item_02_reassurance,item_03_personalised_listening,item_04_encourages_followup,item_05_structured_response,item_06_nonjudgmental_language,item_07_praising_help_seeking,item_08_medical_jargon,item_09_hurried_impression,item_10_psychosocial_info,item_11_biomedical_info,item_12_directive_language,item_13_collaborative_language,judge_model,reasoning_effort,temperature,finish_reason,prompt_tokens,completion_tokens,reasoning_content,status,error_message,timestamp
z-ai/glm-5,S01,A,S01_A,1,3,3,3,3,3,3,1,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5063,185,,ok,,2026-06-20T19:16:28+00:00
z-ai/glm-5,S01,B,S01_B,1,2,3,2,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5051,185,,ok,,2026-06-20T19:16:53+00:00
z-ai/glm-5,S01,C,S01_C,1,3,3,3,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5335,185,,ok,,2026-06-20T19:16:58+00:00
z-ai/glm-5,S01,D,S01_D,1,1,2,2,2,3,1,1,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5398,185,,ok,,2026-06-20T19:17:11+00:00
z-ai/glm-5,S01,E,S01_E,1,3,3,3,2,3,3,1,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4856,185,,ok,,2026-06-20T19:17:16+00:00
z-ai/glm-5,S01,F,S01_F,1,3,3,3,2,3,3,2,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5188,185,,ok,,2026-06-20T19:17:36+00:00
z-ai/glm-5,S02,A,S02_A,1,3,3,3,2,3,3,2,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5046,185,,ok,,2026-06-20T19:17:49+00:00
z-ai/glm-5,S02,B,S02_B,1,3,3,3,2,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5181,185,,ok,,2026-06-20T19:17:53+00:00
z-ai/glm-5,S02,C,S02_C,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4899,185,,ok,,2026-06-20T19:17:57+00:00
z-ai/glm-5,S02,D,S02_D,1,3,3,3,2,3,3,2,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5476,185,,ok,,2026-06-20T19:18:22+00:00
z-ai/glm-5,S02,E,S02_E,1,3,3,3,2,3,3,3,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4995,185,,ok,,2026-06-20T19:18:27+00:00
z-ai/glm-5,S02,F,S02_F,1,3,3,3,1,3,3,2,2,1,2,3,2,1,deepseek-v4-flash,medium,0.01,stop,5265,185,,ok,,2026-06-20T19:18:39+00:00
z-ai/glm-5,S03,A,S03_A,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5320,185,,ok,,2026-06-20T19:18:43+00:00
z-ai/glm-5,S03,B,S03_B,1,2,2,3,3,3,3,1,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5224,185,,ok,,2026-06-20T19:18:46+00:00
z-ai/glm-5,S03,C,S03_C,1,3,2,3,3,3,3,1,3,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5286,185,,ok,,2026-06-20T19:18:50+00:00
z-ai/glm-5,S03,D,S03_D,1,1,1,3,2,3,1,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5321,185,,ok,,2026-06-20T19:18:54+00:00
z-ai/glm-5,S03,E,S03_E,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5058,185,,ok,,2026-06-20T19:19:10+00:00
z-ai/glm-5,S03,F,S03_F,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5202,185,,ok,,2026-06-20T19:19:23+00:00
z-ai/glm-5,S04,A,S04_A,1,3,3,3,3,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5171,185,,ok,,2026-06-20T19:19:27+00:00
z-ai/glm-5,S04,B,S04_B,1,2,2,3,3,3,3,1,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,5019,185,,ok,,2026-06-20T19:19:30+00:00
z-ai/glm-5,S04,C,S04_C,1,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5239,185,,ok,,2026-06-20T19:19:34+00:00
z-ai/glm-5,S04,D,S04_D,1,2,2,3,3,3,3,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5608,185,,ok,,2026-06-20T19:19:38+00:00
z-ai/glm-5,S04,E,S04_E,1,3,2,3,3,3,3,2,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5162,185,,ok,,2026-06-20T19:19:42+00:00
z-ai/glm-5,S04,F,S04_F,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4999,185,,ok,,2026-06-20T19:19:46+00:00
z-ai/glm-5,S05,A,S05_A,1,3,3,3,2,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5234,185,,ok,,2026-06-20T19:19:50+00:00
z-ai/glm-5,S05,B,S05_B,1,2,2,2,2,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4986,185,,ok,,2026-06-20T19:19:54+00:00
z-ai/glm-5,S05,C,S05_C,1,3,3,3,3,3,3,2,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5128,185,,ok,,2026-06-20T19:19:58+00:00
z-ai/glm-5,S05,D,S05_D,1,1,2,2,1,3,1,2,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5357,185,,ok,,2026-06-20T19:20:02+00:00
z-ai/glm-5,S05,E,S05_E,1,3,3,3,1,3,3,1,1,1,3,2,2,1,deepseek-v4-flash,medium,0.01,stop,4584,185,,ok,,2026-06-20T19:20:06+00:00
z-ai/glm-5,S05,F,S05_F,1,3,3,3,1,3,3,2,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,5017,185,,ok,,2026-06-20T19:20:10+00:00
z-ai/glm-5,S06,A,S06_A,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5206,185,,ok,,2026-06-20T19:20:14+00:00
z-ai/glm-5,S06,B,S06_B,1,2,2,2,1,3,3,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5047,185,,ok,,2026-06-20T19:20:17+00:00
z-ai/glm-5,S06,C,S06_C,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5454,185,,ok,,2026-06-20T19:20:21+00:00
z-ai/glm-5,S06,D,S06_D,1,1,1,2,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5527,185,,ok,,2026-06-20T19:20:25+00:00
z-ai/glm-5,S06,E,S06_E,1,3,3,3,2,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5150,185,,ok,,2026-06-20T19:20:29+00:00
z-ai/glm-5,S06,F,S06_F,1,1,2,3,2,3,2,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4976,185,,ok,,2026-06-20T19:20:33+00:00
z-ai/glm-5,S07,A,S07_A,1,3,3,3,2,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5390,185,,ok,,2026-06-20T19:20:37+00:00
z-ai/glm-5,S07,B,S07_B,1,1,3,3,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5030,185,,ok,,2026-06-20T19:20:41+00:00
z-ai/glm-5,S07,C,S07_C,1,3,2,3,3,3,3,2,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5068,185,,ok,,2026-06-20T19:20:45+00:00
z-ai/glm-5,S07,D,S07_D,1,1,1,2,2,3,1,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5301,185,,ok,,2026-06-20T19:20:49+00:00
z-ai/glm-5,S07,E,S07_E,1,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5079,185,,ok,,2026-06-20T19:20:53+00:00
z-ai/glm-5,S07,F,S07_F,1,3,3,3,2,3,3,1,2,1,2,3,2,1,deepseek-v4-flash,medium,0.01,stop,4990,185,,ok,,2026-06-20T19:20:56+00:00
z-ai/glm-5,S08,A,S08_A,1,3,3,3,2,3,3,2,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,5058,185,,ok,,2026-06-20T19:21:00+00:00
z-ai/glm-5,S08,B,S08_B,1,2,1,2,3,3,1,2,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5016,185,,ok,,2026-06-20T19:21:04+00:00
z-ai/glm-5,S08,C,S08_C,1,3,2,3,3,3,3,3,3,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5242,185,,ok,,2026-06-20T19:21:08+00:00
z-ai/glm-5,S08,D,S08_D,1,1,2,2,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5911,185,,ok,,2026-06-20T19:21:12+00:00
z-ai/glm-5,S08,E,S08_E,1,3,3,3,2,3,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,5134,185,,ok,,2026-06-20T19:21:16+00:00
z-ai/glm-5,S08,F,S08_F,1,3,3,3,1,3,3,1,2,1,3,3,1,1,deepseek-v4-flash,medium,0.01,stop,5263,185,,ok,,2026-06-20T19:21:20+00:00
z-ai/glm-5,S09,A,S09_A,1,3,3,3,3,3,3,1,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,4899,185,,ok,,2026-06-20T19:21:24+00:00
z-ai/glm-5,S09,B,S09_B,1,1,1,3,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4843,185,,ok,,2026-06-20T19:21:27+00:00
z-ai/glm-5,S09,C,S09_C,1,3,1,3,3,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4870,185,,ok,,2026-06-20T19:21:31+00:00
z-ai/glm-5,S09,D,S09_D,1,1,1,2,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5424,185,,ok,,2026-06-20T19:21:35+00:00
z-ai/glm-5,S09,E,S09_E,1,3,1,3,3,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4715,185,,ok,,2026-06-20T19:21:47+00:00
z-ai/glm-5,S09,F,S09_F,1,2,1,3,3,3,3,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4913,185,,ok,,2026-06-20T19:21:51+00:00
z-ai/glm-5,S10,A,S10_A,1,3,3,3,3,3,3,1,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5245,185,,ok,,2026-06-20T19:21:55+00:00
z-ai/glm-5,S10,B,S10_B,1,1,2,2,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4911,185,,ok,,2026-06-20T19:21:58+00:00
z-ai/glm-5,S10,C,S10_C,1,3,2,3,3,3,3,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5212,185,,ok,,2026-06-20T19:22:02+00:00
z-ai/glm-5,S10,D,S10_D,1,1,2,3,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5619,185,,ok,,2026-06-20T19:22:06+00:00
z-ai/glm-5,S10,E,S10_E,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5241,185,,ok,,2026-06-20T19:22:10+00:00
z-ai/glm-5,S10,F,S10_F,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5308,185,,ok,,2026-06-20T19:22:14+00:00
z-ai/glm-5,S01,A,S01_A,2,3,3,3,3,3,3,1,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5228,185,,ok,,2026-06-20T19:22:18+00:00
z-ai/glm-5,S01,B,S01_B,2,2,3,2,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5073,185,,ok,,2026-06-20T19:22:22+00:00
z-ai/glm-5,S01,C,S01_C,2,3,3,3,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5497,185,,ok,,2026-06-20T19:22:26+00:00
z-ai/glm-5,S01,D,S01_D,2,1,1,2,2,3,1,2,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5336,185,,ok,,2026-06-20T19:22:30+00:00
z-ai/glm-5,S01,E,S01_E,2,3,3,3,2,3,3,1,1,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4898,185,,ok,,2026-06-20T19:22:33+00:00
z-ai/glm-5,S01,F,S01_F,2,2,3,3,1,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5023,185,,ok,,2026-06-20T19:22:37+00:00
z-ai/glm-5,S02,A,S02_A,2,3,3,3,2,3,3,2,2,1,3,3,3,1,deepseek-v4-flash,medium,0.01,stop,5133,185,,ok,,2026-06-20T19:22:41+00:00
z-ai/glm-5,S02,B,S02_B,2,3,3,3,1,3,3,2,2,1,2,3,2,1,deepseek-v4-flash,medium,0.01,stop,5171,185,,ok,,2026-06-20T19:22:45+00:00
z-ai/glm-5,S02,C,S02_C,2,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4946,185,,ok,,2026-06-20T19:22:49+00:00
z-ai/glm-5,S02,D,S02_D,2,3,3,3,2,3,3,1,3,1,2,3,2,1,deepseek-v4-flash,medium,0.01,stop,5320,185,,ok,,2026-06-20T19:22:53+00:00
z-ai/glm-5,S02,E,S02_E,2,3,3,3,2,3,3,3,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5108,185,,ok,,2026-06-20T19:22:57+00:00
z-ai/glm-5,S02,F,S02_F,2,3,3,3,1,3,3,3,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5133,185,,ok,,2026-06-20T19:23:00+00:00
z-ai/glm-5,S03,A,S03_A,2,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5309,185,,ok,,2026-06-20T19:23:04+00:00
z-ai/glm-5,S03,B,S03_B,2,2,2,3,3,3,3,1,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5243,185,,ok,,2026-06-20T19:23:08+00:00
z-ai/glm-5,S03,C,S03_C,2,3,2,3,3,3,3,1,3,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5212,185,,ok,,2026-06-20T19:23:12+00:00
z-ai/glm-5,S03,D,S03_D,2,1,1,3,2,3,1,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5491,185,,ok,,2026-06-20T19:23:16+00:00
z-ai/glm-5,S03,E,S03_E,2,3,2,3,3,3,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4946,185,,ok,,2026-06-20T19:23:20+00:00
z-ai/glm-5,S03,F,S03_F,2,3,2,3,3,3,3,1,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5276,185,,ok,,2026-06-20T19:23:24+00:00
z-ai/glm-5,S04,A,S04_A,2,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5398,185,,ok,,2026-06-20T19:23:28+00:00
z-ai/glm-5,S04,B,S04_B,2,2,2,3,3,3,3,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5012,185,,ok,,2026-06-20T19:23:32+00:00
z-ai/glm-5,S04,C,S04_C,2,3,2,3,3,3,3,2,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5255,185,,ok,,2026-06-20T19:23:36+00:00
z-ai/glm-5,S04,D,S04_D,2,3,2,3,3,3,3,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5655,185,,ok,,2026-06-20T19:23:40+00:00
z-ai/glm-5,S04,E,S04_E,2,3,2,3,3,3,3,2,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5418,185,,ok,,2026-06-20T19:23:43+00:00
z-ai/glm-5,S04,F,S04_F,2,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5172,185,,ok,,2026-06-20T19:23:47+00:00
z-ai/glm-5,S05,A,S05_A,2,3,3,3,3,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5335,185,,ok,,2026-06-20T19:23:51+00:00
z-ai/glm-5,S05,B,S05_B,2,2,2,2,3,3,3,2,2,1,2,3,2,1,deepseek-v4-flash,medium,0.01,stop,5052,185,,ok,,2026-06-20T19:23:55+00:00
z-ai/glm-5,S05,C,S05_C,2,3,2,3,3,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5197,185,,ok,,2026-06-20T19:23:59+00:00
z-ai/glm-5,S05,D,S05_D,2,1,2,2,1,3,1,3,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5483,185,,ok,,2026-06-20T19:24:03+00:00
z-ai/glm-5,S05,E,S05_E,2,3,3,3,2,3,3,1,1,1,3,2,3,1,deepseek-v4-flash,medium,0.01,stop,4627,185,,ok,,2026-06-20T19:24:06+00:00
z-ai/glm-5,S05,F,S05_F,2,3,3,3,2,3,3,2,2,1,3,2,2,1,deepseek-v4-flash,medium,0.01,stop,5056,185,,ok,,2026-06-20T19:24:10+00:00
z-ai/glm-5,S06,A,S06_A,2,3,3,3,2,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5299,185,,ok,,2026-06-20T19:24:14+00:00
z-ai/glm-5,S06,B,S06_B,2,1,3,2,2,3,3,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5042,185,,ok,,2026-06-20T19:24:17+00:00
z-ai/glm-5,S06,C,S06_C,2,3,2,3,3,3,3,1,2,1,2,3,2,3,deepseek-v4-flash,medium,0.01,stop,5351,185,,ok,,2026-06-20T19:24:22+00:00
z-ai/glm-5,S06,D,S06_D,2,1,1,2,3,3,1,1,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,5520,185,,ok,,2026-06-20T19:24:26+00:00
z-ai/glm-5,S06,E,S06_E,2,3,3,3,2,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,5112,185,,ok,,2026-06-20T19:24:29+00:00
z-ai/glm-5,S06,F,S06_F,2,2,3,3,2,3,3,1,3,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4960,185,,ok,,2026-06-20T19:24:33+00:00
z-ai/glm-5,S07,A,S07_A,2,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5192,185,,ok,,2026-06-20T19:24:37+00:00
z-ai/glm-5,S07,B,S07_B,2,1,3,3,2,3,1,1,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5004,185,,ok,,2026-06-20T19:24:41+00:00
z-ai/glm-5,S07,C,S07_C,2,3,2,3,3,3,3,1,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5212,185,,ok,,2026-06-20T19:24:45+00:00
z-ai/glm-5,S07,D,S07_D,2,1,2,3,3,3,1,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5438,185,,ok,,2026-06-20T19:24:49+00:00
z-ai/glm-5,S07,E,S07_E,2,3,3,3,2,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4995,185,,ok,,2026-06-20T19:24:53+00:00
z-ai/glm-5,S07,F,S07_F,2,3,3,3,2,3,3,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5069,185,,ok,,2026-06-20T19:24:56+00:00
z-ai/glm-5,S08,A,S08_A,2,3,3,3,2,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5139,185,,ok,,2026-06-20T19:25:00+00:00
z-ai/glm-5,S08,B,S08_B,2,1,1,2,3,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5144,185,,ok,,2026-06-20T19:25:04+00:00
z-ai/glm-5,S08,C,S08_C,2,3,2,3,3,3,3,3,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5094,185,,ok,,2026-06-20T19:25:08+00:00
z-ai/glm-5,S08,D,S08_D,2,2,2,3,3,3,3,2,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5878,185,,ok,,2026-06-20T19:25:12+00:00
z-ai/glm-5,S08,E,S08_E,2,3,3,3,2,3,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4933,185,,ok,,2026-06-20T19:25:16+00:00
z-ai/glm-5,S08,F,S08_F,2,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5164,185,,ok,,2026-06-20T19:25:20+00:00
z-ai/glm-5,S09,A,S09_A,2,3,3,3,3,3,3,2,2,1,3,3,3,1,deepseek-v4-flash,medium,0.01,stop,4908,185,,ok,,2026-06-20T19:25:23+00:00
z-ai/glm-5,S09,B,S09_B,2,1,1,2,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4626,185,,ok,,2026-06-20T19:25:27+00:00
