item,label,miri_1,miri_2,miri_3,noreen_1,noreen_2,noreen_3,judge_1,judge_2,judge_3,kappa_w_med,kappa_w_med_lo,kappa_w_med_hi,kappa_w_med_bca_lo,kappa_w_med_bca_hi,kappa_w_med_linear,kappa_w_JM,kappa_w_JM_lo,kappa_w_JM_hi,kappa_w_JN,kappa_w_JN_lo,kappa_w_JN_hi,kappa_w_HH,kappa_w_HH_lo,kappa_w_HH_hi,ac2_JM,ac2_JM_lo,ac2_JM_hi,ac2_JN,ac2_JN_lo,ac2_JN_hi,ac2_HH,pct_exact_JM,pct_exact_JN,pct_exact_HH,weighted_pct_agree_med,bias_judge_minus_median,bias_lo,bias_hi,two_step_JM,two_step_JN,two_step_HH,noninf_delta,noninf_delta_lo,noninf_delta_hi,spearman,degen_boot_frac,human_modal_share,judge_modal_share,flags,status,rule_path
item_01_validation_concern,Validation of emotion/experience or expressing concern,57,45,108,58,36,116,35,42,133,0.7807671657817813,0.7084769491627393,0.8405711500446549,0.7062245429072856,0.839539276132463,0.6684926331696259,0.7512263489838823,0.6696103310042297,0.8217439382582624,0.7707271885132005,0.6965645471049854,0.8322598893276474,0.9067009835462818,0.8695648122640133,0.9378214395589753,0.7988234341689828,0.7276919324744102,0.8620312569576346,0.8193760262725779,0.7550242463663659,0.874398875425257,0.9129527457762786,0.7476190476190476,0.7428571428571429,0.861904761904762,0.9270833333333334,0.20714285714285716,0.14285714285714285,0.2761904761904762,0.02857142857142857,0.01904761904761905,0.0,0.14572421479774045,0.08742568018749822,0.21282534064696237,0.8013617942260552,0.0,0.5333333333333333,0.6333333333333333,bias,confirmatory,rule1
item_02_reassurance,Reassurance,41,107,62,24,89,97,21,89,100,0.6495802263127706,0.5654840204707647,0.7236689584722601,0.5658484638986947,0.7239554187534251,0.5026054002842255,0.5773294908741595,0.4863452353304098,0.6602500253173971,0.6258209031207046,0.5375124224562019,0.7018513156332679,0.7134670487106017,0.6409270820421281,0.7762621605611907,0.7302347308186385,0.667760459392945,0.78905927469354,0.797291706886566,0.7475745037194168,0.8432656194603955,0.8144930950207592,0.6238095238095238,0.680952380952381,0.7142857142857143,0.9238095238095239,0.1523809523809524,0.08095238095238096,0.22380952380952382,0.014285714285714285,0.004761904761904762,0.0,0.11189185171316962,0.03201390685829663,0.19511557334180238,0.6809685962871046,0.0,0.4666666666666667,0.47619047619047616,bias,confirmatory,rule1
item_03_personalised_listening,Personalized/active listening,5,9,196,5,43,162,2,33,175,0.4030020468501251,0.15591699383062263,0.5890004885502397,0.20207617794713192,0.6243849471756037,0.2648401826484019,0.2733564013840831,-0.006275792500947744,0.49286277490497055,0.39055698180600507,0.18912869573719865,0.5513397631329956,0.4418120882930775,0.19588783127075327,0.6125036098337157,0.9307298464009637,0.9016369773973557,0.9540801683727159,0.9085381174933413,0.8765123518515522,0.9353850861287399,0.9262415246472421,0.8095238095238095,0.7666666666666667,0.780952380952381,0.9553571428571429,-0.004761904761904762,-0.06190476190476191,0.05238095238095238,0.009523809523809525,0.004761904761904762,0.0,0.1098553966980334,-0.06838369682721887,0.31067047849536517,0.29007798090357595,0.0,0.8523809523809524,0.8333333333333334,weak_criterion,descriptive_saturated,rule2
item_04_encourages_followup,Encourages follow-up,30,102,78,21,63,126,5,67,138,0.5187080268628077,0.422467061867596,0.6092326863258615,0.4206784569846773,0.607880872576154,0.382526938516797,0.4584647739221872,0.37044413533126247,0.5436791513162668,0.47770700636942676,0.35685163557144317,0.5844167518968378,0.6666666666666667,0.5852848382537188,0.7367510222388548,0.7170403704769629,0.6496937212863705,0.7787586424346167,0.8026858557154644,0.7434403772044247,0.8544504910957931,0.7971781305114638,0.580952380952381,0.6666666666666666,0.6714285714285714,0.9104166666666667,0.26904761904761904,0.1976190476190476,0.3404761904761905,0.023809523809523808,0.01904761904761905,0.0,0.19858077652085976,0.10326651324597345,0.29141172175419555,0.5834632298108954,0.0,0.4857142857142857,0.6571428571428571,bias;knife_edge,confirmatory,rule1
item_05_structured_response,Structured responses,1,37,172,1,24,185,0,5,205,0.28456913827655317,0.046445382161605514,0.47404969336403197,0.08446395807681911,0.5277282146663049,0.18055555555555558,0.18446601941747565,0.0229062276306371,0.3476195098434144,0.27586206896551724,0.04831852369148942,0.4768721342725493,0.44390948483389514,0.23712775665445235,0.6173488399997296,0.9474613256980834,0.9277411247251021,0.9641323545739511,0.968419400818611,0.9537312116001541,0.9807271080872725,0.9471694085718206,0.8285714285714286,0.8904761904761904,0.8428571428571429,0.9747023809523809,0.13095238095238096,0.09285714285714286,0.17142857142857143,0.0,0.0,0.0,0.2137454406423987,0.04444409286939575,0.38937506747200473,0.2612669334010857,0.0,0.85,0.9761904761904762,weak_criterion,descriptive_saturated,rule2
item_06_nonjudgmental_language,Non-judgmental language,0,80,130,0,10,200,43,2,165,0.21061869240895126,0.1453484663892765,0.2742192624246181,0.14250023597405032,0.2723447661479977,0.164572864321608,0.3902190524707082,0.28267685574000895,0.4869423707195694,-0.024945770065075923,-0.05633836447529487,0.009435440809195006,0.10173410404624272,0.02596819522889563,0.18918918918918926,0.7495763509696857,0.669321527191401,0.8172535824099322,0.7204514191897528,0.6283204851234067,0.8029171979997994,0.8671794871794871,0.5857142857142857,0.7571428571428571,0.6476190476190476,0.8470238095238095,-0.20476190476190476,-0.30952380952380953,-0.10238095238095238,0.04285714285714286,0.20476190476190476,0.0,-0.08090253715657342,-0.1805160931489077,0.03208099693370633,0.41352124386570643,0.0,0.7857142857142857,0.7857142857142857,bias;two_step;weak_criterion;criterion_unreliable,exploratory,rule3
item_07_praising_help_seeking,Praising patient for seeking help,141,42,27,153,29,28,145,44,21,0.7448793322674455,0.6606810076606254,0.8123031182414425,0.6606796652389073,0.8123029558769886,0.5940526087584912,0.7090856979077099,0.6194556204595635,0.7828314831751941,0.7040840697396704,0.6022355361220543,0.7878133725469628,0.8077695914266577,0.7308567064070969,0.8670934256084321,0.8668794264230132,0.8174605102401266,0.9077682595841863,0.8716514388712786,0.8207736432888029,0.913297780101277,0.9088908171255634,0.7523809523809524,0.7619047619047619,0.819047619047619,0.9425595238095238,-0.02142857142857143,-0.08571428571428572,0.04285714285714286,0.009523809523809525,0.014285714285714285,0.004761904761904762,0.1011847076029676,0.021392145713654144,0.18538287239511858,0.7409651628856401,0.0,0.7,0.6904761904761905,,confirmatory,rule1
item_08_medical_jargon,Use of medical jargon,47,120,43,44,131,35,8,141,61,0.5346342380154416,0.44989457108701925,0.6119832582529856,0.45351710145257546,0.6164521407685731,0.41511832218026834,0.5217957059206246,0.4281360553096346,0.604626768580257,0.5148904289192733,0.4275862068965517,0.5936589878600024,0.8873454175842792,0.8334795554079244,0.9333337180448958,0.8027134525755838,0.7521457305617885,0.8474675087352802,0.8191003911342893,0.7764627270080269,0.8595687532478251,0.9484269575782642,0.6476190476190476,0.6476190476190476,0.9095238095238095,0.9157738095238095,0.2833333333333333,0.21666666666666667,0.35,0.004761904761904762,0.0,0.0,0.36900235016433025,0.2887954022355211,0.4525508132822361,0.6067955512595636,0.0,0.5976190476190476,0.6714285714285714,bias;knife_edge,confirmatory,rule1
item_09_hurried_impression,Gave off impression of being hurried or rushed,182,28,0,193,17,0,210,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5304777594728172,0.33196951183293877,0.704225352112676,0.9619289340101523,0.9458498452852723,0.9752423027760886,0.9780575053165989,0.966485796361315,0.9875148632580262,0.9720294426919032,0.8666666666666667,0.919047619047619,0.9095238095238095,0.9788690476190476,-0.10714285714285714,-0.14523809523809525,-0.07380952380952381,0.0,0.0,0.0,0.5304777594728172,0.33196951183293877,0.704225352112676,,0.0,0.8928571428571429,1.0,weak_criterion,descriptive_saturated,rule2
item_10_psychosocial_info,Incorporation of psychosocial/emotional information,86,55,69,102,60,48,59,65,86,0.5539375782727206,0.45470083607648226,0.641018501374056,0.4496094297909684,0.63833638628882,0.41208551483420586,0.5794611846428236,0.4790959793106115,0.6672058904417004,0.47229673480714085,0.3711196651107123,0.5641797228978871,0.787346899411708,0.7305534725717394,0.8376928086559986,0.5478553406223716,0.4490573828640863,0.643903769277617,0.4247252193203591,0.31754458098675087,0.5305527307351463,0.7874971891162582,0.5619047619047619,0.4666666666666667,0.7142857142857143,0.8455357142857143,0.2976190476190476,0.20232142857142862,0.39285714285714285,0.05714285714285714,0.08095238095238096,0.004761904761904762,0.26146793968672577,0.169297266009727,0.35884477053258385,0.6034863450814552,0.0,0.44761904761904764,0.4095238095238095,bias;two_step,confirmatory,rule1
