model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
google/gemini-3.1-pro-preview,1,1,3,3,3,Extraversion,+
google/gemini-3.1-pro-preview,1,2,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,3,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,4,3,3,3,Extraversion,+
google/gemini-3.1-pro-preview,1,5,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,6,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,7,3,3,3,Extraversion,+
google/gemini-3.1-pro-preview,1,8,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,9,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,1,10,1,1,1,Extraversion,+
google/gemini-3.1-pro-preview,2,1,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,2,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,3,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,4,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,5,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,6,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,7,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,8,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,9,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,2,10,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,3,1,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,2,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,3,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,4,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,5,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,6,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,7,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,8,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,9,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,3,10,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,4,1,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,2,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,3,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,4,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,5,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,6,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,7,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,8,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,9,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,4,10,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,5,1,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,2,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,3,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,4,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,5,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,6,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,7,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,8,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,9,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,5,10,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,6,1,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,2,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,3,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,4,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,5,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,6,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,7,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,8,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,9,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,6,10,2,2,4,Extraversion,-
google/gemini-3.1-pro-preview,7,1,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,2,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,3,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,4,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,5,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,6,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,7,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,8,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,9,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,7,10,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,8,1,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,2,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,3,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,4,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,5,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,6,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,7,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,8,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,9,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,8,10,1,1,5,Conscientiousness,-
google/gemini-3.1-pro-preview,9,1,4,4,4,Emotional Stability,+
google/gemini-3.1-pro-preview,9,2,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,3,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,4,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,5,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,6,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,7,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,8,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,9,9,4,4,4,Emotional Stability,+
google/gemini-3.1-pro-preview,9,10,5,5,5,Emotional Stability,+
google/gemini-3.1-pro-preview,10,1,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,2,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,3,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,4,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,5,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,6,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,7,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,8,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,9,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,10,10,1,1,5,Intellect/Openness,-
google/gemini-3.1-pro-preview,11,1,5,5,5,Extraversion,+
google/gemini-3.1-pro-preview,11,2,5,5,5,Extraversion,+
google/gemini-3.1-pro-preview,11,3,4,4,4,Extraversion,+
google/gemini-3.1-pro-preview,11,4,5,5,5,Extraversion,+
google/gemini-3.1-pro-preview,11,5,4,4,4,Extraversion,+
google/gemini-3.1-pro-preview,11,6,4,4,4,Extraversion,+
google/gemini-3.1-pro-preview,11,7,4,4,4,Extraversion,+
google/gemini-3.1-pro-preview,11,8,5,5,5,Extraversion,+
google/gemini-3.1-pro-preview,11,9,5,5,5,Extraversion,+
google/gemini-3.1-pro-preview,11,10,4,4,4,Extraversion,+
google/gemini-3.1-pro-preview,12,1,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,2,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,3,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,4,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,5,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,6,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,7,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,8,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,9,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,12,10,1,1,5,Agreeableness,-
google/gemini-3.1-pro-preview,13,1,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,2,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,3,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,4,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,5,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,6,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,7,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,8,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,9,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,13,10,5,5,5,Conscientiousness,+
google/gemini-3.1-pro-preview,14,1,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,2,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,3,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,4,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,5,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,6,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,7,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,8,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,9,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,14,10,1,1,5,Emotional Stability,-
google/gemini-3.1-pro-preview,15,1,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,2,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,3,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,4,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,5,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,6,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,7,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,8,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,9,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,15,10,5,5,5,Intellect/Openness,+
google/gemini-3.1-pro-preview,16,1,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,2,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,3,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,4,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,5,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,6,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,7,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,8,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,16,9,3,3,3,Extraversion,-
google/gemini-3.1-pro-preview,16,10,4,4,2,Extraversion,-
google/gemini-3.1-pro-preview,17,1,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,2,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,3,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,4,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,5,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,6,5,5,5,Agreeableness,+
google/gemini-3.1-pro-preview,17,7,5,5,5,Agreeableness,+
