model,scenario_id,framing_id,vignette_id,run_number,item_01_validation_concern,item_02_reassurance,item_03_personalised_listening,item_04_encourages_followup,item_05_structured_response,item_06_nonjudgmental_language,item_07_praising_help_seeking,item_08_medical_jargon,item_09_hurried_impression,item_10_psychosocial_info,item_11_biomedical_info,item_12_directive_language,item_13_collaborative_language,judge_model,reasoning_effort,temperature,finish_reason,prompt_tokens,completion_tokens,reasoning_content,status,error_message,timestamp
moonshotai/kimi-k2.5,S01,A,S01_A,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4713,185,,ok,,2026-06-20T19:16:28+00:00
moonshotai/kimi-k2.5,S01,B,S01_B,1,2,3,2,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5211,185,,ok,,2026-06-20T19:16:54+00:00
moonshotai/kimi-k2.5,S01,C,S01_C,1,3,3,3,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5250,185,,ok,,2026-06-20T19:16:58+00:00
moonshotai/kimi-k2.5,S01,D,S01_D,1,1,1,2,1,3,1,1,3,1,1,3,1,1,deepseek-v4-flash,medium,0.01,stop,5358,185,,ok,,2026-06-20T19:17:11+00:00
moonshotai/kimi-k2.5,S01,E,S01_E,1,3,3,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4805,185,,ok,,2026-06-20T19:17:16+00:00
moonshotai/kimi-k2.5,S01,F,S01_F,1,2,3,3,2,3,3,2,2,1,3,2,2,1,deepseek-v4-flash,medium,0.01,stop,4699,185,,ok,,2026-06-20T19:17:36+00:00
moonshotai/kimi-k2.5,S02,A,S02_A,1,3,3,3,3,3,3,3,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5010,185,,ok,,2026-06-20T19:17:49+00:00
moonshotai/kimi-k2.5,S02,B,S02_B,1,3,3,3,3,3,3,3,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4711,185,,ok,,2026-06-20T19:17:53+00:00
moonshotai/kimi-k2.5,S02,C,S02_C,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4683,185,,ok,,2026-06-20T19:17:57+00:00
moonshotai/kimi-k2.5,S02,D,S02_D,1,1,2,2,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5094,185,,ok,,2026-06-20T19:18:22+00:00
moonshotai/kimi-k2.5,S02,E,S02_E,1,3,3,3,3,3,3,2,2,1,3,3,3,3,deepseek-v4-flash,medium,0.01,stop,5223,185,,ok,,2026-06-20T19:18:27+00:00
moonshotai/kimi-k2.5,S02,F,S02_F,1,3,3,3,2,3,3,2,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,5164,185,,ok,,2026-06-20T19:18:39+00:00
moonshotai/kimi-k2.5,S03,A,S03_A,1,3,3,3,3,3,3,1,2,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5035,185,,ok,,2026-06-20T19:18:43+00:00
moonshotai/kimi-k2.5,S03,B,S03_B,1,1,1,2,3,3,1,1,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5121,185,,ok,,2026-06-20T19:18:46+00:00
moonshotai/kimi-k2.5,S03,C,S03_C,1,3,3,3,3,3,3,1,3,1,3,3,3,2,deepseek-v4-flash,medium,0.01,stop,5139,185,,ok,,2026-06-20T19:18:50+00:00
moonshotai/kimi-k2.5,S03,D,S03_D,1,1,1,2,1,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5326,185,,ok,,2026-06-20T19:18:54+00:00
moonshotai/kimi-k2.5,S03,E,S03_E,1,3,3,3,3,3,3,1,2,1,3,3,3,3,deepseek-v4-flash,medium,0.01,stop,5145,185,,ok,,2026-06-20T19:19:10+00:00
moonshotai/kimi-k2.5,S03,F,S03_F,1,3,3,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4824,185,,ok,,2026-06-20T19:19:23+00:00
moonshotai/kimi-k2.5,S04,A,S04_A,1,3,3,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5083,185,,ok,,2026-06-20T19:19:27+00:00
moonshotai/kimi-k2.5,S04,B,S04_B,1,2,3,3,3,3,3,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4827,185,,ok,,2026-06-20T19:19:30+00:00
moonshotai/kimi-k2.5,S04,C,S04_C,1,3,2,3,3,3,3,2,3,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,5053,185,,ok,,2026-06-20T19:19:34+00:00
