model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
qwen/qwen3.5-397b-a17b,1,1,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,2,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,3,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,4,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,5,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,6,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,7,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,8,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,9,"

1",1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,1,10,1,1,1,Extraversion,+
qwen/qwen3.5-397b-a17b,2,1,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,2,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,3,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,4,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,5,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,6,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,7,"

1",1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,8,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,9,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,2,10,1,1,5,Agreeableness,-
qwen/qwen3.5-397b-a17b,3,1,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,2,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,3,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,4,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,5,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,6,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,7,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,8,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,9,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,3,10,4,4,4,Conscientiousness,+
qwen/qwen3.5-397b-a17b,4,1,1,1,5,Emotional Stability,-
qwen/qwen3.5-397b-a17b,4,2,1,1,5,Emotional Stability,-
