model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
openai/gpt-5.3-chat,1,1,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,2,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,3,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,4,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,5,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,6,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,7,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,8,2,2,2,Extraversion,+
openai/gpt-5.3-chat,1,9,1,1,1,Extraversion,+
openai/gpt-5.3-chat,1,10,1,1,1,Extraversion,+
openai/gpt-5.3-chat,2,1,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,2,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,3,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,4,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,5,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,6,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,7,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,8,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,9,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,2,10,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,3,1,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,2,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,3,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,4,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,5,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,6,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,7,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,8,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,9,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,3,10,4,4,4,Conscientiousness,+
openai/gpt-5.3-chat,4,1,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,2,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,3,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,4,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,5,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,6,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,7,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,8,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,9,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,4,10,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,5,1,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,2,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,3,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,4,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,5,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,6,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,7,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,8,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,9,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,5,10,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,6,1,1,1,5,Extraversion,-
openai/gpt-5.3-chat,6,2,1,1,5,Extraversion,-
openai/gpt-5.3-chat,6,3,4,4,2,Extraversion,-
openai/gpt-5.3-chat,6,4,1,1,5,Extraversion,-
openai/gpt-5.3-chat,6,5,2,2,4,Extraversion,-
openai/gpt-5.3-chat,6,6,2,2,4,Extraversion,-
openai/gpt-5.3-chat,6,7,1,1,5,Extraversion,-
openai/gpt-5.3-chat,6,8,2,2,4,Extraversion,-
openai/gpt-5.3-chat,6,9,2,2,4,Extraversion,-
openai/gpt-5.3-chat,6,10,2,2,4,Extraversion,-
openai/gpt-5.3-chat,7,1,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,2,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,3,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,4,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,5,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,6,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,7,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,8,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,9,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,7,10,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,8,1,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,2,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,3,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,4,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,5,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,6,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,7,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,8,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,9,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,8,10,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,9,1,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,2,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,3,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,4,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,5,3,3,3,Emotional Stability,+
openai/gpt-5.3-chat,9,6,4,4,4,Emotional Stability,+
openai/gpt-5.3-chat,9,7,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,8,4,4,4,Emotional Stability,+
openai/gpt-5.3-chat,9,9,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,9,10,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,10,1,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,2,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,3,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,4,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,5,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,6,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,7,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,8,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,9,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,10,10,1,1,5,Intellect/Openness,-
openai/gpt-5.3-chat,11,1,5,5,5,Extraversion,+
openai/gpt-5.3-chat,11,2,4,4,4,Extraversion,+
openai/gpt-5.3-chat,11,3,5,5,5,Extraversion,+
openai/gpt-5.3-chat,11,4,5,5,5,Extraversion,+
openai/gpt-5.3-chat,11,5,5,5,5,Extraversion,+
openai/gpt-5.3-chat,11,6,4,4,4,Extraversion,+
openai/gpt-5.3-chat,11,7,4,4,4,Extraversion,+
openai/gpt-5.3-chat,11,8,4,4,4,Extraversion,+
openai/gpt-5.3-chat,11,9,5,5,5,Extraversion,+
openai/gpt-5.3-chat,11,10,4,4,4,Extraversion,+
openai/gpt-5.3-chat,12,1,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,2,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,3,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,4,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,5,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,6,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,7,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,8,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,9,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,12,10,1,1,5,Agreeableness,-
openai/gpt-5.3-chat,13,1,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,2,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,3,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,4,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,5,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,6,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,7,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,8,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,9,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,13,10,5,5,5,Conscientiousness,+
openai/gpt-5.3-chat,14,1,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,2,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,3,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,4,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,5,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,6,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,7,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,8,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,9,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,14,10,1,1,5,Emotional Stability,-
openai/gpt-5.3-chat,15,1,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,2,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,3,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,4,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,5,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,6,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,7,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,8,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,9,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,15,10,5,5,5,Intellect/Openness,+
openai/gpt-5.3-chat,16,1,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,2,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,3,2,2,4,Extraversion,-
openai/gpt-5.3-chat,16,4,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,5,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,6,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,7,2,2,4,Extraversion,-
openai/gpt-5.3-chat,16,8,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,9,4,4,2,Extraversion,-
openai/gpt-5.3-chat,16,10,4,4,2,Extraversion,-
openai/gpt-5.3-chat,17,1,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,2,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,3,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,4,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,5,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,6,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,7,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,8,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,9,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,17,10,5,5,5,Agreeableness,+
openai/gpt-5.3-chat,18,1,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,2,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,3,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,4,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,5,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,6,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,7,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,8,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,9,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,18,10,1,1,5,Conscientiousness,-
openai/gpt-5.3-chat,19,1,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,2,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,3,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,4,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,5,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,6,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,7,5,5,5,Emotional Stability,+
openai/gpt-5.3-chat,19,8,5,5,5,Emotional Stability,+
